#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
,,,,,AMOUNT,
1,Wells Fargo Bank account #1 (cash),N/A,"$1,001 - $15,000",Interest,None (or less,
,,,,,than $201),
2,Wells Fargo Bank account #2 (cash),N/A,"$100,001 -",Interest,"$1,001 - $2,500",
,,,"$250,000 ",,,
3,Wells Fargo Bank account #3 (cash),N/A,"$500,001 -",Interest,"$5,001 - $15,000",
,,,"$1,000,000 ",,,
4,Wells Fargo Bank account #6 (cash),N/A,"Over $1,000,000",Interest,"$15,001 -",
,,,,,"$50,000 ",
5,RBC Bank account #2 (cash),N/A,"$1,001 - $15,000",,None (or less,
,,,,,than $201),
6,RBC Bank account #3(cash),N/A,"$50,001 -",Interest,"$201 - $1,000",
,,,"$100,000 ",,,
7,RBC Bank account #4 (cash),N/A,"$15,001 -",Interest,"$201 - $1,000",
,,,"$50,000 ",,,
8,RBC Bank GIC Term Deposit (cash),N/A,"$1,001 - $15,000",Interest,None (or less,
,,,,,than $201),
9,NZD Bank account #1 (cash),N/A,"$1,001 - $15,000",Interest,None (or less,
,,,,,than $201),
10,NZD Bank account #2 (cash),N/A,"$15,001 -",,None (or less,
,,,"$50,000 ",,than $201),
11,NZD Term Deposit(cash),N/A,"$500,001 -",Interest,"$2,501 - $5,000",
,,,"$1,000,000 ",,,
12,Chase  #1(cash),N/A,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
13,Chase #2(cash),N/A,"$1,001 - $15,000",,None (or less,
,,,,,than $201),
14,Chase #3(cash),N/A,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
15,Chase #4 (cash),N/A,"$1,001 - $15,000",,None (or less,
,,,,,than $201),
16,American Bank (cash),N/A,"$1,001 - $15,000",,None (or less,
,,,,,than $201),
17,American Bank (cash) (joint with dependent,N/A,None (or less,Interest,None (or less,
,child),,"than $1,001)",,than $201),
18,WF #1 (cash) (joint account with dependent,N/A,"$100,001 -",Interest,"$201 - $1,000",
,child),,"$250,000 ",,,
19,WF#2 (cash) (joint account with dependent,N/A,"$100,001 -",Interest,"$201 - $1,000",
,child),,"$250,000 ",,,
20,Chase #1 (cash) (joint account with,N/A,"$1,001 - $15,000",Interest,None (or less,
,dependent child),,,,than $201),
21,Chase #2 (cash) (joint account with,N/A,None (or less,Interest,None (or less,
,dependent child),,"than $1,001)",,than $201),
22,Chase #3 (cash) (joint account with,N/A,"$1,001 - $15,000",Interest,None (or less,
,dependent child),,,,than $201),
23,Chase #4 (cash) (joint account with depdent,N/A,None (or less,Interest,None (or less,
,child),,"than $1,001)",,than $201),
24,Brokerage account #1,No,,,,
24.1,Fidelity Government money market fund,Yes,"Over $1,000,000",,None (or less,
,,,,,than $201),
24.2,Fidelity Blue Chip Growth,Yes,"$15,001 -",,None (or less,
,,,"$50,000 ",,than $201),
24.3,Ishares Trust Ishares Core High Dividend,Yes,"$500,001 -",,"$5,001 - $15,000",
,,,"$1,000,000 ",,,
24.4,SPDR S&P 500 EFT Trust Unit SER 1 S&P,Yes,"$100,001 -",,"$1,001 - $2,500",
,,,"$250,000 ",,,
24.5,SPDR DOW Jones Indl Average ETF TR Unit,Yes,"$100,001 -",,"$1,001 - $2,500",
,SER 1,,"$250,000 ",,,
24.6,Vanguard Whitehall FDS High Dividend Yield,Yes,"$500,001 -",,"$5,001 - $15,000",
,ETF SHS,,"$1,000,000 ",,,
24.7,Vanguard Sector Index FDS Vanguard Utils,Yes,None (or less,,"$100,001 -",
,"Vipers - 1,000 shares",,"than $1,001)",,"$1,000,000 ",
24.8,Ishares TR U.S. PFD STK EFT,Yes,"$50,001 -",,"$2,501 - $5,000",
,,,"$100,000 ",,,
24.9,Apple Inc. - 700 shares / Purchased in open,N/A,None (or less,Dividends,"$50,001 -",
,market,,"than $1,001)",Capital Gains,"$100,000 ",
24.1,Proctor and Gamble Co - 600 shares /,N/A,None (or less,Dividends,"$50,001 -",
,Purchased in open market,,"than $1,001)",Capital Gains,"$100,000 ",
24.11,Wells Fargo - 250 shares / Purchased in,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
,open market,,"than $1,001)",Dividends,,
24.12,Franklin Cnty Wash Pub Util Elec and Pub,N/A,"$1,001 - $15,000",Interest,"$201 - $1,000",
,Power Rev 2007 5% - Purchased in open,,,Capital Gains,,
,market,,,,,
24.13,Franklin Cnty Wash Pub Util Elec and Pub,N/A,"$15,001 -",Interest,"$1,001 - $2,500",
,Power Rev 2007 5% - Purchased in open,,"$50,000 ",Capital Gains,,
,market,,,,,
25,Brokerage account #2 - Purchased in open,No,,,,
,market,,,,,
25.1,Morgan Stanley Active Assets Government,Yes,"$50,001 -",,"$201 - $1,000",
,Trust,,"$100,000 ",,,
25.3,NEW YORK ST URBAN DEV CORP EMPIRE ST,N/A,"$500,001 -",Interest,"$15,001 -",
,DEV CORP SVC CONTRACT Mat:01/01/2023 -,,"$1,000,000 ",Capital Gains,"$50,000 ",
,Purchased in open market,,,,,
25.4,NEW YORK ST DORM AUTH ST PERS INCOME,N/A,"$250,001 -",Interest,"$15,001 -",
,TAX REV EDUC-C Mat:03/15/2023 -,,"$500,000 ",Capital Gains,"$50,000 ",
,Purchased in open market,,,,,
25.5,NEW YORK ST URBAN DEV CORP INCOME,N/A,"$250,001 -",Interest,"$15,001 -",
,TAX REV-A-A Mat:03/15/2023 - Purchased in,,"$500,000 ",Capital Gains,"$50,000 ",
,open market,,,,,
25.6,ILLINOIS ST SALES TAX REV Mat:06/15/2025 -,N/A,"$250,001 -",Capital Gains,"$15,001 -",
,Purchased in open market,,"$500,000 ",Interest,"$50,000 ",
25.7,KENTUCKY COMMONWEALTH ST PROP,N/A,"$100,001 -",Interest,"$15,001 -",
,BLDG COMM PJ 108 REV REF-B,,"$250,000 ",Capital Gains,"$50,000 ",
,Mat:08/01/2025 - Purchased in open market,,,,,
25.8,REGIONAL TRANSN AUTH ILL REV,N/A,"$250,001 -",Interest,"$15,001 -",
,Mat:07/01/2026 - Purchased in open market,,"$500,000 ",Capital Gains,"$50,000 ",
25.9,METROPOLITAN TRANS AUTH N Y,N/A,"$250,001 -",Interest,"$15,001 -",
,DEDICATED TAX FUND REV REF-A,,"$500,000 ",Capital Gains,"$50,000 ",
,Mat:11/15/2026 - Purchased in open market,,,,,
25.1,LOWER CO RIV AUTH TX REF REV-BID 12-01-,N/A,"$500,001 -",Capital Gains,"$15,001 -",
,12 Mat:05/15/2027 - Purchased in open,,"$1,000,000 ",Interest,"$50,000 ",
,market,,,,,
25.11,LOWER COLO RIV AUTH TEX REV REF-B ID,N/A,"$1,001 - $15,000",Capital Gains,"$201 - $1,000",
,12-01-12 Mat:05/15/2027 - Purchased in,,,Interest,,
,open market,,,,,
25.12,NEW YORK CITY GENL OBLIG SER-F,N/A,"$500,001 -",Interest,"$15,001 -",
,Mat:08/01/2027 - Purchased in open market,,"$1,000,000 ",Capital Gains,"$50,000 ",
25.13,NEW YORK ST URBAN DEV CORP EMPIRE ST,N/A,"$250,001 -",Capital Gains,"$15,001 -",
,DEV CORP SVC CONTRACT-B,,"$500,000 ",Interest,"$50,000 ",
