6. Other Assets and Income,,,,
"# DESCRIPTION",EIF,VALUE,INCOME TYPE,INCOME
"",,,,AMOUNT
1 U.S. Bank Account (cash),No,"$250,001 -",Interest,None (or less
"",,"$500,000",,than $201)
"2 Investment Property, Cocoa Beach, FL",No,"$500,001 -",,
"",,"$1,000,000",,
"3 Investment Property, Bridgeport, CT",No,"$500,001 -",,
"",,"$1,000,000",,
4 BANK AMERICA CORP,N/A,"$15,001 -",Dividends,"$5,001 - $15,000"
"",,"$50,000",Capital Gains,
5 CITIGROUP INC NEW,N/A,None (or less,,None (or less
"",,"than $1,001)",,than $201)
6 GENERAL ELECTRIC COMPANY,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
7,FIDELITY ADVISOR DIVERSIFIED INTL CL A,Yes,"$1,001 - $15,000",None (or less
"",,,,than $201)
