6. Other Assets and Income,,,,,
# DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
,,,,AMOUNT,
1 JOINT INVESTMENT ACCOUNT,No,"$250,001 -",Dividends,"$5,001 - $15,000",
,,"$500,000 ",Capital Gains,,
,,,Interest,,
1.1 ABBOTT LABS STOCK,N/A,"$1,001 - $15,000",,"$201 - $1,000",
1.2 APPLE INCORPORATED STOCK,N/A,"$15,001 -",,"$201 - $1,000",
,,"$50,000 ",,,
1.3 BB&T COR,N/A,"$15,001 -",Dividends,"$201 - $1,000",
,,"$50,000 ",,,
1.4 CHESAPEAKE ENERGY CORPORATION,N/A,"$1,001 - $15,000",PURCHASE,,
STOCK,,,,,
1.5 CONOCOPHILLIPS STOCK,N/A,"$1,001 - $15,000",,None (or less,
,,,,than $201),
1.6 DANAHER CO,N/A,"$1,001 - $15,000",,None (or less,
,,,,than $201),
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
1.7,DISNEY WALT COMP,N/A,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
1.8,DOMINION RES INC. STOCK,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
1.9,EBAY INC,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.1,EXXON MOBIL CORP. STOCK,N/A,"$15,001 -",Dividends,"$1,001 - $2,500"
,,,"$50,000 ",,
1.11,FORTIVE CORP. STOCK,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.12,Johnson & Johnson STOCK,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
1.13,PAYPAL HOLDINGS INC STOCK,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.14,"Qualys, Inc. - Common Stock",N/A,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
1.15,ISHARES TR CORE S&P MCP ETF,Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
1.16,ISHARES TR CORE S&P SCP,Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
1.17,ISHARES TR CORE HIGH DV ETF,Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
1.18,SPDR S&P 500 ETF TRUST,Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
1.19,SPDR SERIES TRUST S&P DIVID ETF,Yes,"$15,001 -",,"$1,001 - $2,500"
,,,"$50,000 ",,
1.2,Google Inc. - Class A Common Stock,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.21,Google Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.22,"Amazon.com, Inc. - Common Stock",N/A,"$1,001 - $15,000",Capital Gains,None (or less
,,,,,than $201)
1.23,AMERICAN WATER WORKS CO (AWK),N/A,"$1,001 - $15,000",,
1.24,Becton Dickinson & Co,N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
1.25,BlackRock Inc,N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
1.26,Boeing Co,N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
